Transceiver Name,Cell Name,Longitude,Latitude,Frequency Band,Scenario,Antenna Type,Azimuth,Height,Mechanical Downtilt,Electrical Downtilt,Max Power(dBm)
PLACEHOLDER,PLACEHOLDER_0,20.07884894971949,32.1339437685065,1800,outofbounds,1800MHz 65deg 17dBi 0Tilt,240.0,31.741262435913086,0,11.20637321472168,15.2
PLACEHOLDER,PLACEHOLDER_2,20.089409522626767,32.133518520536214,1800,urban,1800MHz 65deg 17dBi 0Tilt,85.0,28.0,0,6.759655952453613,15.2
PLACEHOLDER,PLACEHOLDER_3,20.094689725482375,32.13330556805202,1800,rural,1800MHz 65deg 17dBi 0Tilt,265.0,28.0,0,12.0,15.2
PLACEHOLDER,PLACEHOLDER_4,20.099969872530192,32.133092396579144,1800,rural,1800MHz 65deg 17dBi 0Tilt,260.0,28.0,0,0.0,15.2
PLACEHOLDER,PLACEHOLDER_11,20.099719249256047,32.128599501677535,1800,suburban,1800MHz 65deg 17dBi 0Tilt,125.0,28.0,0,0.0,15.2
PLACEHOLDER,PLACEHOLDER_12,20.104999083715345,32.12838614817087,1800,outofbounds,1800MHz 65deg 17dBi 0Tilt,275.0,38.493255615234375,0,0.0,15.2
PLACEHOLDER,PLACEHOLDER_13,20.073069956377942,32.12516990091427,1800,suburban,1800MHz 65deg 17dBi 0Tilt,330.0,29.585956573486328,0,0.0,15.2
PLACEHOLDER,PLACEHOLDER_14,20.0783498128129,32.12495767895692,1800,suburban,1800MHz 65deg 17dBi 0Tilt,180.0,28.0,0,7.022703170776367,15.2
PLACEHOLDER,PLACEHOLDER_16,20.0889093587812,32.124532578238686,1800,suburban,1800MHz 65deg 17dBi 0Tilt,130.0,38.545814514160156,0,3.4875054359436035,15.2
PLACEHOLDER,PLACEHOLDER_17,20.09418904820092,32.124319699493775,1800,suburban,1800MHz 65deg 17dBi 0Tilt,120.0,30.73491668701172,0,3.4890151023864746,15.2
PLACEHOLDER,PLACEHOLDER_18,20.09946868183529,32.12410660183566,1800,urban,1800MHz 65deg 17dBi 0Tilt,35.0,28.0,0,0.0,15.2
PLACEHOLDER,PLACEHOLDER_19,20.104748259627492,32.12389328527235,1800,outofbounds,1800MHz 65deg 17dBi 0Tilt,290.0,29.815587997436523,0,0.015496283769607544,15.2
PLACEHOLDER,PLACEHOLDER_23,20.08865936045685,32.12003959969081,1800,suburban,1800MHz 65deg 17dBi 0Tilt,170.0,30.867250442504883,0,2.0546092987060547,15.2
PLACEHOLDER,PLACEHOLDER_24,20.093938793243844,32.11982675781025,1800,suburban,1800MHz 65deg 17dBi 0Tilt,140.0,35.79646682739258,0,0.0,15.2
PLACEHOLDER,PLACEHOLDER_26,20.104497491438597,32.119400417430754,1800,outofbounds,1800MHz 65deg 17dBi 0Tilt,205.0,28.0,0,0.0,15.2
PLACEHOLDER,PLACEHOLDER_28,20.072571555206878,32.116183718164116,1800,rural,1800MHz 65deg 17dBi 0Tilt,280.0,28.0,0,2.754218816757202,15.2
PLACEHOLDER,PLACEHOLDER_29,20.07785089836605,32.115971569705465,1800,urban,1800MHz 65deg 17dBi 0Tilt,285.0,28.0,0,0.0,15.2
PLACEHOLDER,PLACEHOLDER_31,20.088409417849856,32.11554661621114,1800,rural,1800MHz 65deg 17dBi 0Tilt,230.0,33.88603591918945,0,0.3707755208015442,15.2
PLACEHOLDER,PLACEHOLDER_33,20.09896771450903,32.11512078733394,1800,urban,1800MHz 65deg 17dBi 0Tilt,190.0,28.0,0,7.278813362121582,15.2
PLACEHOLDER,PLACEHOLDER_35,20.067043295799504,32.11190251229049,1800,urban,1800MHz 65deg 17dBi 0Tilt,230.0,29.2839298248291,0,9.790040969848633,15.2
PLACEHOLDER,PLACEHOLDER_36,20.072322437930612,32.11169061940785,1800,rural,1800MHz 65deg 17dBi 0Tilt,75.0,28.0,0,4.796396255493164,15.2
PLACEHOLDER,PLACEHOLDER_41,20.098717314581087,32.11062787267553,1800,urban,1800MHz 65deg 17dBi 0Tilt,150.0,28.0,0,0.0,15.2
PLACEHOLDER,PLACEHOLDER_42,20.103996122712747,32.1104146669211,1800,suburban,1800MHz 65deg 17dBi 0Tilt,340.0,29.10779571533203,0,5.475300312042236,15.2
PLACEHOLDER,PLACEHOLDER_43,20.06679449055494,32.10740937191157,1800,urban,1800MHz 65deg 17dBi 0Tilt,305.0,28.0,0,10.239282608032227,15.2
PLACEHOLDER,PLACEHOLDER_47,20.087909699743157,32.10656063445925,1800,suburban,1800MHz 65deg 17dBi 0Tilt,320.0,28.0,0,0.46052151918411255,15.2
PLACEHOLDER,PLACEHOLDER_48,20.093188362972676,32.1063479031506,1800,suburban,1800MHz 65deg 17dBi 0Tilt,110.0,35.83244705200195,0,4.177545547485352,15.2
PLACEHOLDER,PLACEHOLDER_49,20.098466970461658,32.10613495307968,1800,rural,1800MHz 65deg 17dBi 0Tilt,255.0,28.0,0,4.2194318771362305,15.2
PLACEHOLDER,PLACEHOLDER_50,20.10374552215334,32.1059217842545,1800,urban,1800MHz 65deg 17dBi 0Tilt,120.0,38.188499450683594,0,0.0,15.2
PLACEHOLDER,PLACEHOLDER_52,20.09821668213952,32.10164202854712,1800,suburban,1800MHz 65deg 17dBi 0Tilt,110.0,28.0,0,12.0,15.2
